Posto/Quadro/Qualificação; Nome;Nº Portaria;Data Portaria
SO QSS SAD;Afonso Darci Carvalho de Azevedo;;33024
Professor;Afonso de Liguori Pessoa Lima;;31580
Cel Av R/1;Afonso Ely Teixeira Machado;;31580
Cel Int R/1;Afonso Farias de Sousa Júnior;;33758
Ten Cel Eng;Afonso Félix Ferreira;;29388
Brig Ar Ref;Afonso Ferdinand Barros e Silva;;25399
Ten Cel Esp Arm;Afonso Flausino Pimenta;;33389
Ten Cel (R/R);Afonso Heleno de Oliveira Gomes;;33389
Maj Av;Afonso Henrique Junqueira de Andrade Junior;341/SC;40323
Senhor;Afonso Henriques Carvalho Medeiros;408/SC;37399
Economista;Afonso Ivan Machado;531/SC;37782
Ten Cel Méd;Afonso José Celente Soares;;34516
Conselheiro;Afonso José Sena Cardoso;;33758
1º Ten QOEA SVA ;Afonso Luiz da Rocha Cunha;968/SC;41428
Tecnologista Sênior ;Afonso Matarazzo Neto;968/SC;41428
Secretário de Planej e Invest-MPOG;Afonso Oliveira de Almeida;461/SC;39958
Tecnologista Sênior;Afonso Paulo Monteiro Pinheiro;262/SC;41058
Cap Av;Afrânio Augusto Pinto;;20828
Doutor;Afrânio Cavalcanti Mello Júnior;;30118
Ten Cel Av;Afrânio da Silva Aguiar;;22297
CMG;Afrânio de Faria;;21205
C Alte;Afrânio de Paiva Moreira Junior;388/SC;39248
1S QSS BEI;Afranio Do Nascimento Furtado;566/SCGC;43969
Cap Esp Com;Afrânio Lopes da Cruz;;26115
Doutor;Afrânio Rodrigues da Cunha;;23025
Senhor;Agaciel da Silva Maia;408/SC;37399
Senhor;Agamenon Gonçalves Nocetti;;24114
Senhor;Agamenon Silva Viana;408/SCC;35969
1S QSS SAD;Agamenon Vieira Bernardes da Silva;;33024
Ten Brig Eng;Agemar da Rocha Sanctos;;20828
1S QSS SAD;Agenor de Castilho Brandão Neto;;34516
Maj Brig Ar;Agenor de Figueiredo;;20828
Senhor;Agenor de Figueiredo Junior;423/SC;39610
Gen Div;Agenor Francisco Homem de Carvalho;;33024
Senhor;Agenor Gomes Queiroz;;29011
Cap Esp Av;Agenor Mendes Lima;;29011
Cel Ex;Agenor Monte;;20836
2º Ten Inf;Agenor Rodrigues da Silva;;20839
SO QSS SEL;Agildo Nunes Bezerra;;34131
Ministro;Agildo Séllos Moura;;27575
Delegado;Agílio Monteiro Filho;370/SCC;36307
Ten Cel Ex;Agissé da Silva Bahia;;27575
Senhora;Aglae Nogueira da Silva;327/SCC;36665
Ten Cel Esp Com;Agnaldo Bernardo dos Santos;;29753
Senhor;Agnaldo das Chagas Gomes;341/SC;40323
Maj Esp Com;Agnaldo de Souza Batista;262/SC;41058
Gen Div;Agnaldo Del Nero Augusto;;30118
Maj Av;Agnaldo dos Santos;877/SCGC;41789
1S QSS SAD;Agnaldo Ferreira da Silva Katayama;341/SC;40323
SO QSS SGS;Agnaldo Ferreira Pinto Cabral;410/SC;37033
SO QSS BMT ;Agnaldo Gonçalo Netto Junior;968/SC;41428
SO QSS SMU;Agnaldo Lopes Gomes;400/SCC;35593
S Ten Art ;Agnaldo Ribeiro dos Santos;798/SCGC;42886
SO QSS SGS;Agnaldo Silva Lima;;29388
Cel Av;Agnello Saione Filho;;33758
Prefeito de Parnamirim-RN;Agnelo Alves;410/SC;37033
Ministro de Estado;Agnelo Santos Queiroz Filho;531/SC;37782
Ten Cel Med (EB) ;Agostinho Bracht;798/SCGC;42886
Cel Av;Agostinho César Perlingeiro Perissé;;20828
1S QSS SGS;Agostinho de Medeiros Brito;;25045
2º Ten QOEA;Agostinho de Oliveira Xavier;423/SC;39610
Cel Eng;Agostinho Ferreira Borges;;22635
SO QSS SMU;Agostinho Laureano Pereira Filho;;34131
C Alte (IM);Agostinho Santos do Couto;721/SCGC;29/05/2015
SO QSS BMA;Agostinho Sérvolo Rodrigues da Rocha;;33389
Brig Inf R/1;Agostinho Shibata;;30848
SO QSS SGS;Agostinho Tavares Serrão;;34844
SO QSS SMU;Agrício Braz dos Santos;;26115
Gen Div;Aguinaldo Caiado de Castro;;21205
1S QSS SGS;Aguinaldo da Costa Sial;;26843
Ten Cel Av;Aguinaldo da Penha de Oliveira;;30483
Cap QOEA ANV;Aguinaldo da Silva Carneiro;649/SCGC;43230
SO QSS SML;Aguinaldo de Araújo;;31580
Doutor;Aguinaldo Junqueira Filho;;26476
1º Ten QOEA SVA;Aguinaldo Pedro Vieira;728/SCGC;43598
Ten Cel Av;Aguinaldo Pellicciotti Júnior;;33389
Air Chief Marshal (INDONÉSIA);Agus Supriatna;565/SCGC;42513
Brig Gen;Agustin Angarita Niño;;25589
Coronel;Ahmet Serdar Apaydin;143/SCGC;43488
Cap Farm ;Aida Aredes;968/SC;41428
Secretária;Aida Fontoura Viana Lopes;566/SCGC;43969
Senhora;Aída Maria Barbosa Domingues;;29388
1S QSS SAD;Aidano da Silva Junior;721/SCGC;29/05/2015
Cel Av;Aildon Dornellas de Carvalho;;26476
Maj Av;Ailson Andrade;566/SCGC;43969
1º Ten Esp Aer SVA;Ailson Santiago Martins;565/SCGC;42513
SO QSS SAD;Ailton Afonso dos Santos;410/SC;37033
SO QSS BMA;Aílton Angelo Bianchetti Folador;;29011
Cel PM (São Paulo);Ailton Araújo Brandão;461/SC;39958
Senhor;Ailton Brandão;;30483
SO QSS BFT;Aílton Cesar da Silva;531/SC;37782
SO QSS BMA;Aílton da Conceição;;23937
Maj QOAV;Ailton David Cabral Junior;728/SCGC;43598
2S QSS SAD;Aílton dos Prazeres;;27941
Cel Int;Aílton dos Santos Mendes;388/SC;39248
Ten Brig Ar;Ailton dos Santos Pohlmann;;31580
SO QSS BET;Ailton Farias;;31945
Cap Inf;Ailton Ferreira da Silva;;32295
SO QSS SMU;Aílton Geraldo da Silva;596/SC;38875
SO QSS SAD;Aílton Gomes Duarte;;30848
Cap (Ex);Aílton Guimarães Jorge;;25758
Promotor;Ailton José da Silva;667/SC;38160
SO QSS BEI;Aílton José Toscano de Britto;;34516
2S QSS BET;Ailton Oliveira dos Santos;565/SCGC;42513
2S QTA TAR;Ailton Onibeni Silva;596/SC;38875
Ten Cel Av;Ailton Rodrigues;687/SC;38525
1º Ten QOEA;Aílton Tavares de Lira;;31215
SD;Ailton Tavares de Oliveira Junior;388/SC;39248
1º Ten Inf;Ailton Tobias de Andrade Junior;341/SC;40323
Doutor;Aiman Guerra Nogueira da Gama;;27204
Cel Ex;Aimé Alcibíades Silveira Lamaison;;26115
SO QSS SMU;Aini Ferreira de Sant'Anna;;31580
Cel (Ex);Aires Barros Olivo;;33389
SO QSS BEP;Aires Coimbra de Barros;388/SC;39248
Cel Méd;Aires Cunha Leite;687/SC;38525
Cel Int (Ex);Aires de Melo Jurema;877/SCGC;41789
Ten Cel Int;Airto Schmitt;;29753
Cap Esp Sup;Airton Alves Ferreira;262/SC;41058
Delegado;Airton Angelo Claudino;667/SC;38160
SO QSS SAD;Aírton Bonfim;;26476
SO QSS BMA;Airton da Rosa;687/SC;38525
Cel Ex;Aírton de Alcântara Gomes;;30848
Ten Cel Méd;Airton de Almeida Magalhães;;31945
SO QSS SAD;Aírton de Oliveira;;33389
Doutor;Airton de Sá Ferraz;;34131
1S QSS SAD;Aírton Demétrio Zeferino;;30848
Brig Int R/1;Airton Duque Estrada Seraphim;;30118
SO QSS SAD;Airton Ezio Pinheiro;565/SCGC;42513
Cel (Ex);Airton Fernandes Moreira;;33758
Ten Cel Med;Airton Francisco Dotto Bau;596/SC;38875
Cel Dent;Airton Francisco Valente;400/SCC;35593
SO QSS SAD;Airton Jordão da Costa;341/SC;40323
1S QSS SAD;Aírton Klann;;34131
SO QSS BMA;Aírton Luiz Felipeli;;28671
Cel Av;Airton Manoel Rodrigues;327/SCC;36665
Cel Eng;Aírton Marques de Santana;;30118
Ten Cel Av;Airton Miguel Yasbeck Júnior;687/SC;38525
1S QSS SEL;Airton Pes do Amaral;728/SCGC;43598
CF (Md);Aírton Renato de Almeida;;26843
Doutor;Airton Rocha de Souza;;33758
Alte Esq;Airton Ronaldo Longo;;31945
Cap QOEA SAI;Airton Silva de Salles;423/SC;39610
Contra-Almirante;Airton Teixeira Pinho Filho;;34516
Doutor;Aírton Young;;31215
Cap Av;Aislan Brum Cursi;423/SC;39610
Mal Ar;Ajalmar Vieira Mascarenhas;;20836
Cel Av;Ajauri Barros de Melo;;31215
Cel Av;Ajax Augusto Mendes Corrêa;;26115
Maj Brig Ar;Ajax Barros de Mello;;28671
Gen Div R/1;Ajax Porto Pinheiro;566/SCGC;43969
Maj Ex;Akbar Cardoso Silva;;25758
Gen Bda Ref;Akira Obara;370/SCC;36307
Ten Cel Ex;Alacid da Silva Nunes;;24800
Gen Ex;Alacyr Frederico Werner;;27204
Ten Cel Méd;Aladim Antônio Sobreiro;;29388
Maj Inf;Aladim Ribeiro da Silva;;32295
S Ten Cav;Aladio Alves da Cruz Junior;649/SCGC;43230
Sec Fiscalização de Pessoal (TCU);Aladir Filgueiras de Paula;596/SC;38875
Professora;Alaíde Cândida de Almeida Oliveira;;24114
Senhora;Alaide das Neves Izidoro;687/SC;38525
SO QSS SAD;Alailson Chagas Fernandes;;31945
Cap Adm;Alaim Prudêncio da Silva;;30483
Senhor (França);Alain Henri Bailly;667/SC;38160
Senhor;Alain Merabet - Viallon;410/SC;37033
Coronel (França);Alain Perriault;531/SC;37782
Senhor;Alair Accioli Antunes;;20836
1S QSS SAD;Alair Araújo Dourado;;28306
1S QSS SOB;Alair Lopes;;23209
Ten Cel Méd;Alair Pereira de Carvalho;;33389
Cel Av;Alamiro Pereira dos Santos;;25399
Cap Int;Alan Almeida Ramalho Barbosa;877/SCGC;41789
Maj Med;Alan Alvarez Conde;565/SCGC;42513
Ten Cel Av;Alan Areovaldo Cunha Junior;877/SCGC;41789
CB QCB SGS;Alan Barboza Cunha;271/SC;40682
Ministro-Conselheiro;Alan Coelho de Séllos;461/SC;39958
Capitão-de-Corveta;Alan Dalton Zeidan dos Santos;531/SC;37782
Senhor;Alan David Sinclair;;34131
Maj QOAV;Alan Elias Lemos Mattar;728/SCGC;43598
Ten Cel Av;Alan Elvis de Lima;423/SC;39610
Maj QOENG;Alan Fonseca Uehara;728/SCGC;43598
SO QSS BCO;Alan Gabriel de Campos;877/SCGC;41789
C Alte ;Alan Guimarães Azevedo;798/SCGC;42886
Major;Alan J. Bakas;;25735
Empresário;Alan José Calassa;687/SC;38525
SO QSS BSP;Alan Kardec Lopes da Silva;;32659
CMG;Alan Kardec Mota;649/SCGC;43230
Maj Av;Alan Knoll;877/SCGC;41789
Cel Av;Alan Mejías Díaz;262/SC;41058
C Alte (EN);Alan Paes Leme Arthou;667/SC;38160
S2 QSD SSG;Alan Victor Kalinowski;271/SC;40682
2º SG (CO) ;Alan Vieira Borges;968/SC;41428
Bispo;Alano Maria Dú Norday;;21644
CB QCB SGS;Alaor Antonio da Cunha;370/SCC;36307
Cap Esp Av;Alaor de Freitas e Silva;;23390
Maj Esp CTA;Alaôr Dias;;31945
Maj Esp Av;Alaor Ferreira Campos;;28671
Ten Cel Av;Alaor Vieira de Castro;;21941
Embaixador;Alarico Silveira Júnior;;26843
1º Ten Esp Aer SVE;Alawyr Wensley de Resende;565/SCGC;42513
1S QSS BMA;Alayr Zancanaro;;30848
Cap Int;Alba Angélica Nunes Teixeira;877/SCGC;41789
Ten Cel QFO ENF R/1;Alba Boureau Pereira;667/SC;38160
SO QFG SAD;Alba Fani Dill de Quadros de Matos;721/SCGC;29/05/2015
Doutor;Albano da Silva;408/SCC;35969
2º Ten Adm;Albano Gaspar;;23209
Cel Av Ref;Albano Jorge de Lima;;26843
Senhor;Albano Raymundo da Fonseca Marques;;20836
Cap Av;Albe Eugênio Castro Lopes;;25478
SO QSS BSP;Alber James Furtado Miranda;408/SC;37399
Maj Esp Sup Téc;Albere Brederode Araújo;;33758
Ten Cel Int;Alberi Duarte Mendes;;29011
Gen Bda;Alberi Silveira Dias;;34844
Ten Cel Ex;Albérico da Conceição Andrade;;34131
1S QSS SAD;Alberico Gomes Dos Anjos;566/SCGC;43969
Senhor ;Albério Júnio Rodrigues de Lima;798/SCGC;42886
Cap QOEA MUS R/1;Alberlei Schlogl;596/SC;38875
2S SAD;Albert Iglesia Correa dos Santos;341/SC;40323
Major (USAF);Albert Kilbourne Nich;;23914
Doutor;Albert Vienne;;30483
Médico;Albertino Antônio Sobreiro Filho;;33389
SO QSS SAD;Albertino Ribeiro de Carvalho Filho;327/SCC;36665
Ten Cel;Alberto Abdala Echeverria;;24958
Senhor;Alberto Acuño Ongay;;22229
Professor Adjunto;Alberto Adade Filho;408/SCC;35969
Cel Av;Alberto Alarcon Daza;;21513
Brig Int;Alberto Alves de Souza;;30118
Maj Esp Av;Alberto Alves Vieira;;31215
Senhor;Alberto André;;32659
V Alte;Alberto Annarumma Júnior;;32659
Ten Cel Int;Alberto Augusto de Oliveira Neto;;34844
Maj Av;Alberto Augusto Moraes Vieira Alves;341/SC;40323
Maj QOEFot ;Alberto Azevedo Banhos;968/SC;41428
Maj Brig Ar;Alberto Baltar;;25758
SO QSS SAI;Alberto Benyhe;461/SC;39958
Senhor;Alberto Bertelli;;26843
SO QSS BCT;Alberto Bertolucci;;26476
Maj Brig Ar;Alberto Bins Netto;;22635
Cap Esp Av;Alberto Botelho Machado;;22635
CMG;Alberto Cardoso Blois;;34516
Ten Cel Ex;Alberto Carlos Costa Fortunato;;25045
C Alte;Alberto Carlos de Aguiar;;27204
Ten Cel Ex (Inf);Alberto Carlos de Mello Fonseca;;35228
Gen Div;Alberto Carlos de Mendonça Lima;;22635
Civil;Alberto Carlos Pereira Filho;461/SC;39958
SO QSS SEF;Alberto Carlos Sampaio;;26476
Brig Gen Ar;Alberto Castillo Juanicotenea;327/SCC;36665
SO QSS BMB;Alberto Cláudio de Azevedo Conti;;24667
Ten Cel (USAF);Alberto D. Nido;;21109
Maj Brig Ar;Alberto da Costa Mattos;;23390
Cel Ex (Capl);Alberto da Costa Reis;;28671
Senhor;Alberto da Cruz Lima;;34516
Senhor;Alberto da Silva Bellinello;400/SCC;35593
Cel Int;Alberto da Silva Britto;;26115
Cel Av;Alberto das Neves Neto;410/SC;37033
Maj Int;Alberto De Almeida Gomes;566/SCGC;43969
Senhor;Alberto de Araújo Filho;;23390
Maj Ex;Alberto de Azevedo Gusmão;;26476
Doutor;Alberto de Brito Pereira;;20836
Ten Cel Ex (Int);Alberto de Gusmão Coelho;;29753
Doutor;Alberto de Mello Flores;;26843
SO QSS BCO;Alberto de Melo Petrocchi;;31580
Cel Eng;Alberto de Oliveira Garcia;;34844
Cel Av Ref;Alberto de Paiva Côrtes;;28671
Maj Inf;Alberto de Souza Reis;;23390
Ten Cel Esp Sup Téc;Alberto Dias Silva;;31945
Senhor;Alberto Diz;;28306
CMG;Alberto do Valle Rosauro de Almeida;;29011
SO QSS BMA;Alberto dos Reis Casemiro;341/SC;40323
Cel Int;Alberto dos Santos D'Albuquerque e Castro;;29011
Gen Ex;Alberto dos Santos Lima Fajardo;;28306
Senhor;Alberto Duccos;;20836
CMG;Alberto Duek;262/SC;41058
Coronel;Alberto Duque Rodriguez;;24975
Senhor;Alberto Eduardo Costa;;27204
Cap Av;Alberto Espírito Santo Puget;;25045
Senhor;Alberto Euzébio Carmo Tângari;;25399
Senhor;Alberto Fabiano da Cunha Britto;400/SCC;35593
Comandante;Alberto Fajerman;;30848
Comodoro;Alberto Felipe Simunovic;271/SC;40682
Sd PM (RJ);Alberto Fernandes Luiz;;25758
Cel Av R/1;Alberto Fernando Barddal Drummond Filho;531/SC;37782
2º Ten QOEA;Alberto Ferreira da Silva;;34516
Cel Av R/1;Alberto Ferreira Filho;;32659
Senhor;Alberto Ferro Barros;;30118
SO QSS SAD;Alberto Firmino de Morais;423/SC;39610
SO QSS SML;Alberto Flávio Lacorte;327/SCC;36665
Doutor;Alberto Fonseca;;20836
Cap Av;Alberto Fragneau;;20953
Doutor;Alberto Franco Faria Marcondes;;27204
Ten Cel Av R/1;Alberto Frassão;531/SC;37782
Embaixador;Alberto Freund Rossel;;20772
Coronel;Alberto Fritis;;20747
Cel Av;Alberto Garcia Mora;;29011
Arcebispo;Alberto Gaudêncio Ramos;;32295
Cap (Ex);Alberto Gomes de Rezende;;29388
SO QSS BMA;Alberto Gomig;410/SC;37033
Doutor;Alberto Gunther Fortner;;33024
CMG (Namíbia);Alberto Haufiku Sizario;566/SCGC;43969
SO QSS SGS;Alberto Henrique Cellarius;;30118
CT;Alberto Hiroshi Masuda;;30848
Doutor;Alberto Hoffmann;;31945
Senhor;Alberto Hohnke;;30848
Senhor;Alberto Homsi;;23013
Ten Cel Av;Alberto Jacintho Lozza;388/SC;39248
SO QSS BCT;Alberto Jorge Albuquerque Queiroz;327/SCC;36665
C Alte;Alberto Jorge Carvalhal;;21205
SO QSS SAD;Alberto Jorge da Cunha Mendonça;;35228
Senhor;Alberto Jorge de Nascimento Feitosa;596/SC;38875
Ten Cel Int;Alberto Jorge Pinheiro Pedrosa;;33024
Cel Int R/1;Alberto José Navarro Pascoal;;34844
Coronel (Venezuela);Alberto José Perez Barrios;408/SC;37399
SO QSS BMA;Alberto José Pinto Lima;271/SC;40682
CC;Alberto Kreisler Carvalhaes;;27204
Senhor;Alberto Lima;;20836
2S QSS SDE;Alberto Lima Coelho;341/SC;40323
Cel Med;Alberto Lima Sobreiro;423/SC;39610
Cel Eng;Alberto Lopes Peres;;20836
SO QSS SEM ;Alberto Luis Himmelspach Ribeiro;968/SC;41428
SO QSS SOB;Alberto Luiz Araújo de Mendonça;410/SC;37033
Ten Cel Av;Alberto Lyrio;;24667
Cel Int;Alberto Maia da Fonseca;;32659
Cel Ex;Alberto Maldonado Villamizar;;30519
Comandante;Alberto Malheiros Renzo;;35228
Cel Piloto Av;Alberto Manuel Alves Francisco;262/SC;41058
Gen Div;Alberto Márcio  Ferraz Sant'ana;408/SCC;35969
Professor;Alberto Marson;;30848
Gen Bda (Méd);Alberto Martins da Silva;;33389
CMG;Alberto Meira de Grossi;;29753
Gen Div;Alberto Mendes Cardoso;410/SC;37033
1º Ten QOEA CTA;Alberto Mendonça de Almeida;877/SCGC;41789
Brig Gen Av ;Alberto Miguel Zanelli Lacoste;968/SC;41428
Cel Av;Alberto Mongelos Wallin;;30848
Maj Esp Com;Alberto Monteiro de Oliveira;;33024
Senhor;Alberto Monteiro dos Santos;341/SC;40323
Cel Ex;Alberto Moore;;21205
Doutor;Alberto Moreira de Vasconcelos;;24667
Cel Av ;Alberto Moreno-Bonet;968/SC;41428
Cel Av;Alberto Muhle;;31580
Cel Av;Alberto Murad;;20828
Maj Av;Alberto Natalio Corona;;21844
Cap QOEA SVE;Alberto Oliveira da Silva;388/SC;39248
Ten Cel Méd;Alberto Paulo Herszenhorn;;34131
Doutor;Alberto Pereira da Cunha;;27204
SO QSS SGS R/R;Alberto Pereira da Fonseca;327/SCC;36665
Ten Cel Int;Alberto Pereira de Figueiredo;;30483
Cb QCB SAD ;Alberto Pereira de Jesus;968/SC;41428
Vice-Governador - MG;Alberto Pinto Coelho Júnior;271/SC;40682
Cel Av;Alberto Pires da Silva Júnior;;30483
Cap Av;Alberto Purcell;;25856
SO QSS SAD;Alberto Ramos dos Santos;877/SCGC;41789
CB QCB SAD;Alberto Reis Pereira;;34516
Doutor;Alberto Rodrigues Soeiro;;23209
Cel Av (Bolívia);Alberto Saavedra Nogales;566/SCGC;43969
Senhor;Alberto Saccour;;31580
Cel Med;Alberto Salame;;30483
Cap de-Navio;Alberto Sanchez Carrion;;22487
SO QSS BCO;Alberto Shunji Sato;877/SCGC;41789
Cel Av;Alberto Siaudzionis;;26115
Maj Av;Alberto Silva Cortes;;20828
Senhor;Alberto Silva Lima;;20839
Comandante;Alberto Soeiro Cabral;;25531
Brig Int R/1;Alberto Tavares de Oliveira;;32295
Cap Pil Av;Alberto Teixeira;;23209
Maj Av;Alberto Thorndike;;21492
Ten Cel Ex;Alberto Ubiratan Marzullo de Oliveira;;33758
Conselheiro;Alberto Vasconcellos da Costa e Silva;;26843
Senhor;Alberto Victor Pereira;596/SC;38875
ST Ex;Alberto Vieira Neto;;29753
Doutor;Alberto Villares da Nova Gomes;;30483
Cel Av;Alberto Wagner da Cunha Baptista;;32295
Ten Cel Eng;Alberto Walter da Silva Mello Junior;667/SC;38160
Senhor;Alberto Winkler;461/SC;39958
Doutor;Alberto Zubiria;;20895
Cel (Ex);Albery Santini;;33389
3S QESA SEM;Albino Carlos de Oliveira;531/SC;37782
Doutor;Albino Coimbra Filho;;29388
Maj Ex;Albino Fernandes;;26115
2º Ten QOEA COM;Albino Gomes da Silva Neto;728/SCGC;43598
2S QSS BMA;Albino José Rodrigues;;25045
CF;Albino Sartori Júnior;;22635
Cel Méd;Albion Silva Teixeira;;30848
Senhor;Alcari Muniz Pinheiro;;32295
SO Ref;Alcebíades de Barros Calháo;;22635
Gen Ex;Alcedir Pereira Lopes;;32659
1º Ten QOEA ANV;Alcemi Barbosa Pedreira;877/SCGC;41789
3S QESA SGS;Alcemir Pinto do Vale;388/SC;39248
Ten Cel PM (RS);Alcery Frota Pinto;;35228
Juiz-Auditor;Alceu Alves dos Santos;;30848
ST Art;Alceu de Alcântara Rondon;596/SC;38875
Deputado Federal (RS);Alceu de Deus Collares;596/SC;38875
Procurador-Geral Justiça - MG;Alceu José Torres Marques;271/SC;40682
Ten Cel Esp Av;Alceu Raul Conceição;;28306
SO QSS SAD;Alceu Rizzo Júnior;667/SC;38160
Cap Esp Arm;Alci Sandoval do Nascimento Ferreira;565/SCGC;42513
Cel  Av (Paraguai);Alcibiades Aguilar Frutos;370/SCC;36307
Gen Bda;Alcibiades Ramon Soto Valleau;;28306
1S QSS SGS;Alcides Alves José;271/SC;40682
SO QSS SGS;Alcides Antônio Santana da Lapa;327/SCC;36665
Cel Av;Alcides Barbosa Junior;687/SC;38525
Maj Int;Alcides Beserra de Sousa;400/SCC;35593
Embaixador;Alcides da Costa Guimarães Filho;;30118
Doutor;Alcides da Rocha Miranda;;26843
Brig Méd R/1;Alcides de Almeida;;32295
SO QSS BMA;Alcides de Amorim;;34516
Senhor;Alcides Fajioli;;26843
2º Secretário;Alcides Gastão Rostand Prates;;31215
Senhor;Alcides Gomes de Oliveira;;33024
CF;Alcides Guedes Figueiredo;;32659
SO QSS SAD ;Alcides Jorge do Nascimento Albuquerque;968/SC;41428
Vice-Comorodo;Alcides José Cerutti;;33758
Doutor;Alcides José Kronenberg;;32659
Doutor;Alcides Lins;;20836
Desembargador Federal (TRF2);Alcides Martins Ribeiro Filho;728/SCGC;43598
CB QCB BSP;Alcides Miguel Cordeiro;423/SC;39610
3S QSS BCT;Alcides Milton da Silva Junior;271/SC;40682
Brig Ar;Alcides Moitinho Neiva;;23209
Senhor;Alcides Pegrucci;;26476
Senhor;Alcides Redulfo Suman;;27941
1S QSS SAD;Alcides Ribeiro Junior;566/SCGC;43969
Ten Cel Int;Alcides Roberto Nunes;667/SC;38160
Cap Eng;Alcides Rodrigues dos Santos;;27941
Ten Cel Int;Alcides Santos Pacheco;;31945
Senhor;Alcides Segundo Bresciani;;26843
Cel Av;Alcides Teixeira Barbacovi;408/SC;37399
Senhor;Alcidio Mafra de Souza;;20836
Senhora;Alciméa Guimarães Nascimento;;30118
S2 Q IG PM;Alcindo Guilherme da Silva Otero;328/SCC;36665
Maj Méd;Alcindo Nova da Costa;;20828
Doutor;Alcindo Rogério Amarante de Oliveira;;30848
Ten Cel Esp CTA;Alcindo Soares;;35228
2S QSS BMT;Alcindo Tiengo;;21205
SO QSS BMA;Alcino Alves da Silva Filho;565/SCGC;42513
CB QCB SAD;Alcino Borges da Silva;;24705
Maj Int;Alcino Esteves Teixeira;;23013
Doutor;Alcino Marangon;;28306
Doutor;Álcio Carvalho Portella;;30118
1S QSS SAD;Alcione Celina de Medeiros;649/SCGC;43230
SO QSS BMA;Alcione José Vivian;271/SC;40682
Maj Esp Av;Alcir Alves de Moura;;31215
Ten Cel Inf;Alcir Barbosa Pinheiro;;29011
Cel PM (DF);Alcir da Silva Faulhaber;;33758
Doutor;Alcir de Barros Silva;;32295
SO QSS SAD;Alcir de Oliveira;;31580
Cel Int;Alcir Martins de Almeida;408/SC;37399
Senhor;Alcir Melo de Miranda;;30848
Cel Av;Alcir Moreira de Moraes;388/SC;39248
Gen Div;Alcy Jardim de Mattos;;27204
Escritor;Alcy José de Vargas Cheuiche;410/SC;37033
Gen Bda (Eng Mil);Alcy Pinheiro Rangel;;33389
Ten Cel Ex (Eng Mil);Alcyone Fernandes de Almeida Júnior;;30848
CB QCB BMA;Alcyr Alexandrino da Silva;;26281
Empresário;Alcyr Bores de Souza Meira;877/SCGC;41789
Maj Brig Ar;Alcyr Cahet Rebello;;24114
Senhor;Alcyr Léo Piccoli;;29388
Ten Cel Int;Alcyr Lintz Geraldo;;24299
1S QSS SEF;Alcyr Mendonça Rosadas;;20836
Senhor;Alcyr Oliveira Maia;;30848
SO QSS SMU;Alcyr Rodrigues dos Santos;;33758
SO QSS BCT;Alcyr Vieira de Moraes;;30483
SO QSS SAD;Alcyr Wandelli;;20836
Doutora;Alda Cardoso Kremer;;20828
Assistente Social;Alda Cidade Cavalcante;;34844
Doutora;Alda Freire de Carvalho;;33389
Vice-Prefeita SP;Alda Marco Antonio;262/SC;41058
Ten Cel Esp Com;Aldair de Oliveira;;27575
SO QSS SEL;Aldair José Henrique Nunes;531/SC;37782
SO QSS BSP;Aldair Suim de Souza;341/SC;40323
Senhora;Aldaíres Lopes dos Santos;388/SC;39248
1º Ten Esp Aer COM;Aldebaran Rocha Rosa;565/SCGC;42513
Cel Av;Aldécio Soares da Paz;;35228
SO QSS BSP;Aldeilson Mendes da Silva;;33758
Ten Cel Av;Aldemar Antunes Pinheiro;;22297
SO QSS SEM;Aldemar Cabral de Freitas;;32295
SO QTA TAR R/1;Aldemar Pereira da Silva;531/SC;37782
1S QSS BCO;Aldemar Tertuliano dos Santos Filho;;30118
Cel Inf;Aldemarion Cosme Simas Gonçalves;531/SC;37782
SO QSS SGS;Aldemir Cabral Aguiar;;33024
1º Ten QOEA;Aldemir Magalhães de Faria;;33758
1º Ten Esp Av;Aldenir Henrique Ribeiro;271/SC;40682
Cap Av;Aldier Geraldo Nazario;877/SCGC;41789
Professora;Aldina Pereira de Azevedo;;20836
CMG;Aldir Bellotti da Silva;;31215
1S QSS SAD;Aldir dos Santos Braga;;32659
Cel Av;Aldir Raposo Martins;;25399
